name,website,Idea_List
3DTK,http://threedtk.de,http://slam6d.sourceforge.net/wishlist.html
FreeType,http://freetype.org,https://www.freetype.org/gsoc.html
Free UK Genealogy,http://www.freeukgenealogy.org.uk,https://www.freeukgenealogy.org.uk/about/volunteer/tech-volunteering-opportunities/ideas-list/
FreeBSD,https://www.FreeBSD.org/,https://wiki.freebsd.org/SummerOfCodeIdeas
"Genes, Genomes and Variation",http://www.ensembl.org,http://www.ensembl.info/student-projects/
freifunk,https://freifunk.net,https://projects.freifunk.net
GENIVI Alliance,https://www.genivi.org/,https://at.projects.genivi.org/wiki/display/GDP/Google+Summer+of+Code+Instructions+and+ideas
GFOSS - Open Technologies Alliance,http://gfoss.eu,https://ellak.gr/wiki/index.php?title=GSOC2018_Projects
Gentoo Foundation,https://gentoo.org/,https://wiki.gentoo.org/wiki/Google_Summer_of_Code/2018/Ideas
Fedora Project,https://getfedora.org/,https://docs.fedoraproject.org/mentored-projects/gsoc/2018/ideas.html
FFmpeg,https://www.ffmpeg.org/,https://trac.ffmpeg.org/wiki/SponsoringPrograms/GSoC/2018
Free and Open Source Silicon Foundation,https://fossi-foundation.org,https://fossi-foundation.org/gsoc18-ideas
Elastic,https://www.elastic.co,https://github.com/elastic/gsoc#ideas
FOSSology,https://fossology.org/,https://wiki.fossology.org/gsoc-2018
FOSSASIA,https://fossasia.org,https://labs.fossasia.org/ideas
Eta,https://eta-lang.org/,https://eta-lang.org/contribute/gsoc/2018
Zulip,https://zulip.com,https://zulip.readthedocs.io/en/latest/overview/gsoc-ideas.html
XWiki,http://www.xwiki.org/,http://gsoc.xwiki.org/
xpra.org,https://xpra.org/,https://xpra.org/trac/wiki/ProjectIdeas
Xi Editor Project,https://github.com/google/xi-editor,http://google.github.io/xi-editor/gsoc.html
Xapian Search Engine Library,https://xapian.org/,https://trac.xapian.org/wiki/GSoCProjectIdeas
XBMC Foundation,http://kodi.tv,http://kodi.wiki/view/Google_Summer_of_Code/2018
WorldBrain.io - Verifying the Internet,http://worldbrain.io,https://github.com/WorldBrain/Memex/issues?q=is%3Aissue+is%3Aopen+label%3A%22GSoC+2018+Projects%22
Wikimedia Foundation,http://wikimediafoundation.org/,https://www.mediawiki.org/wiki/Google_Summer_of_Code/2018
X.org Foundation,http://www.x.org,https://www.x.org/wiki/SummerOfCodeIdeas/
webpack,https://webpack.js.org/,https://docs.google.com/document/d/17snmViHEAM3vhj6bf0nH0-i0so_rQf4PeK5OuCrXcV8/edit?usp=sharing
vitrivr,https://vitrivr.org/,https://vitrivr.org/gsoc.html#ideas
ViSP,https://visp.inria.fr/,https://github.com/lagadic/visp/wiki/GSoC_2018
VideoLAN,https://www.videolan.org,https://wiki.videolan.org/SoC_2018/
UCSC Xena,http://xena.ucsc.edu,https://github.com/ucscXena/ucsc-xena-client/wiki/Google-Summer-of-Code-Ideas-2018
TLA+,https://lamport.azurewebsites.net/tla/tla.html,https://github.com/tlaplus/tlaplus/blob/master/general/docs/contributions.md
TimVideos.us,https://code.timvideos.us/,https://github.com/timvideos/getting-started/issues
The Wine Project,https://www.winehq.org/,https://wiki.winehq.org/SummerOfCode
The Vega Visualization Tools by the UW Interactive Data Lab,https://vega.github.io/,https://docs.google.com/document/d/1YKBzT-aTrKGxA-G6ktzRSIC-ihc3JCWmNW5k7OL85nA/edit?usp=sharing
The Qt Project,http://wiki.qt.io/,https://wiki.qt.io/Google_Summer_of_Code/2018/Project_Ideas
The syslog-ng project.,https://syslog-ng.org/,https://github.com/balabit/syslog-ng/wiki/GSoC2018-Idea-&-Project-list
The MacPorts Project,https://www.macports.org/,https://trac.macports.org/wiki/SummerOfCode
The Processing Foundation,http://processingfoundation.org,https://github.com/processing/processing/wiki/Project-List
The Libreswan Project,https://libreswan.org,https://libreswan.org/wiki/GSoC2018
The ns-3 Network Simulator Project,https://www.nsnam.org,https://www.nsnam.org/wiki/GSOC2018Projects
The NetBSD Foundation,https://www.NetBSD.org/,https://wiki.netbsd.org/projects/gsoc/
The Linux Foundation,http://www.linuxfoundation.org/,https://wiki.linuxfoundation.org/gsoc/google-summer-code-2018
The Mifos Initiative,http://mifos.org,https://mifosforge.jira.com/wiki/spaces/RES/pages/225411076/Google+Summer+of+Code+2018+Ideas
The Honeynet Project,https://honeynet.org/,https://honeynet.org/gsoc2018/ideas
The Java Pathfinder Team,https://github.com/javapathfinder/jpf-core/wiki,https://github.com/javapathfinder/jpf-core/wiki/GSoC-2018-Project-Ideas
Swift,https://swift.org,https://swift.org/project-ideas
Systers Community,https://anitab.org/systers/,https://github.com/systers/systers.github.io/wiki/GSoC-2018
The Eclipse Foundation,http://www.eclipse.org,https://wiki.eclipse.org/Google_Summer_of_Code_2018_Ideas
The Center for Connected Learning and Computer-Based Modeling,http://ccl.northwestern.edu/netlogo,https://github.com/NetLogo/NetLogo/wiki/Google-Summer-of-Code-Ideas-List
TEAMMATES @ National University of Singapore,https://github.com/teammates/teammates,http://tinyurl.com/teammates-ideas
SymPy,http://www.sympy.org/,https://github.com/sympy/sympy/wiki/GSoC-2018-Ideas
Sugar Labs,http://www.sugarlabs.org,https://wiki.sugarlabs.org/go/Summer_of_Code
Sustainable Computing Research Group (SCoRe),http://www.scorelab.org/,http://www.scorelab.org/gsoc-2018/
Submitty,http://submitty.org,http://submitty.org/developer/project_ideas
Streetmix,https://streetmix.net/,https://github.com/streetmix/streetmix/projects
strace,https://strace.io,https://strace.io/wiki/GoogleSummerOfCode2018
Stony Brook University Biomedical Informatics,https://bmi.stonybrookmedicine.edu/,https://goo.gl/gxRnz5
STE||AR Group,https://stellar-group.org/,https://github.com/STEllAR-GROUP/hpx/wiki/GSoC-2018-Project-Ideas
SPDX,https://spdx.org,http://wiki.spdx.org/view/GSOC/GSOC_ProjectIdeas
Space @ Virginia Tech,http://space.vt.edu,http://space.vt.edu/space_gsoc_2018.html
Stemformatics,https://www.stemformatics.org,https://docs.google.com/document/d/1zcuCTUMqbR7QFrUaGmxYGD_iKt8XCK6a35RtN6GGUC0/edit?usp=sharing
Seastar,http://www.seastar-project.org/,https://github.com/scylladb/seastar/wiki/Google-Summer-of-Code-2018
Software and Computational Systems Lab at LMU Munich,https://www.sosy-lab.org/,https://www.sosy-lab.org/gsoc/gsoc2018.php
ScummVM,https://scummvm.org/,http://wiki.scummvm.org/index.php/Summer_of_Code/GSoC_Ideas_2018
Scilab,https://www.scilab.org,https://wiki.scilab.org/GSoC_project_proposal
Scala,http://www.scala-lang.org,https://scala-lang.org/gsoc/2018/
Ruby Science Foundation,http://sciruby.com/,https://github.com/SciRuby/sciruby/wiki/Google-Summer-of-Code-2018-Ideas
Sage Mathematical Software System,https://www.sagemath.org/,https://wiki.sagemath.org/GSoC/2018
RTEMS Project,https://www.rtems.org/,https://devel.rtems.org/wiki/Developer/OpenProjects
Ruby,https://www.ruby-lang.org/,https://github.com/rubygsoc/rubygsoc/wiki/Ideas-List
Rocket.Chat,https://rocket.chat,https://rocket.chat/docs/contributing/google-summer-of-code-2018
Ruby on Rails,http://rubyonrails.org/,https://github.com/railsgsoc/ideas/wiki/2018-Ideas
RoboComp,http://robocomp.org/,https://robocomp.github.io/web/blog/gsoc/ideas2018
