name,website,Idea_List
3DTK,http://threedtk.de,https://developers.google.com/open-source/gsoc/rules
GENIVI Alliance,https://www.genivi.org/,http://www.google.com/intl/en/policies/privacy/
Gentoo Foundation,https://gentoo.org/,https://twitter.com/gentoo
"Genes, Genomes and Variation",http://www.ensembl.org,https://twitter.com/ensembl
freifunk,https://freifunk.net,https://twitter.com/freifunk
FreeBSD,https://www.FreeBSD.org/,https://twitter.com/freebsd
GFOSS - Open Technologies Alliance,http://gfoss.eu,https://twitter.com/gfoss
FreeType,http://freetype.org,https://developers.google.com/open-source/gsoc/rules
FOSSology,https://fossology.org/,https://developers.google.com/open-source/gsoc/rules
Eta,https://eta-lang.org/,https://twitter.com/eta_lang
Free UK Genealogy,http://www.freeukgenealogy.org.uk,https://twitter.com/FreeUKGen
FOSSASIA,https://fossasia.org,https://twitter.com/fossasia
Free and Open Source Silicon Foundation,https://fossi-foundation.org,https://twitter.com/fossifoundation
Zulip,https://zulip.com,https://twitter.com/zulip
xpra.org,https://xpra.org/,https://developers.google.com/open-source/gsoc/rules
XWiki,http://www.xwiki.org/,https://twitter.com/xwikiorg
FFmpeg,https://www.ffmpeg.org/,http://www.google.com/intl/en/policies/privacy/
Elastic,https://www.elastic.co,https://twitter.com/elastic
Xi Editor Project,https://github.com/google/xi-editor,https://developers.google.com/open-source/gsoc/rules
Fedora Project,https://getfedora.org/,https://twitter.com/fedora
X.org Foundation,http://www.x.org,https://twitter.com/xorgfoundation?lang=en
XBMC Foundation,http://kodi.tv,http://twitter.com/KodiTV
vitrivr,https://vitrivr.org/,http://www.google.com/intl/en/policies/privacy/
Xapian Search Engine Library,https://xapian.org/,http://www.google.com/intl/en/policies/privacy/
WorldBrain.io - Verifying the Internet,http://worldbrain.io,http://www.google.com/intl/en/policies/privacy/
Wikimedia Foundation,http://wikimediafoundation.org/,https://twitter.com/Wikimedia
webpack,https://webpack.js.org/,https://twitter.com/webpackcontrib
ViSP,https://visp.inria.fr/,https://developers.google.com/open-source/gsoc/rules
UCSC Xena,http://xena.ucsc.edu,http://www.google.com/intl/en/policies/privacy/
TimVideos.us,https://code.timvideos.us/,https://twitter.com/TimVideosUs
TLA+,https://lamport.azurewebsites.net/tla/tla.html,http://www.google.com/intl/en/policies/privacy/
VideoLAN,https://www.videolan.org,https://twitter.com/videolan
The Wine Project,https://www.winehq.org/,http://www.google.com/intl/en/policies/privacy/
The Qt Project,http://wiki.qt.io/,https://twitter.com/qtproject
The Vega Visualization Tools by the UW Interactive Data Lab,https://vega.github.io/,https://twitter.com/vega_vis
The ns-3 Network Simulator Project,https://www.nsnam.org,https://developers.google.com/open-source/gsoc/rules
The Processing Foundation,http://processingfoundation.org,https://twitter.com/processingorg
The Mifos Initiative,http://mifos.org,http://twitter.com/mifos
The NetBSD Foundation,https://www.NetBSD.org/,https://twitter.com/netbsd
The syslog-ng project.,https://syslog-ng.org/,https://twitter.com/sngose
The MacPorts Project,https://www.macports.org/,https://twitter.com/macports
The Linux Foundation,http://www.linuxfoundation.org/,https://developers.google.com/open-source/gsoc/rules
The Eclipse Foundation,http://www.eclipse.org,https://twitter.com/@EclipseFdn
The Honeynet Project,https://honeynet.org/,https://twitter.com/ProjectHoneynet
